Number of Time Steps:,1200,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,31-Oct-21,,,,,,,,,,,,,,,,,,,,,,,,
Start Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
End Date:,30-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,
End Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
,Pathnames:,Part A:,Part B:,Part C:,UNITS,Part F:,,Col:,,,,,,,,,,,,,,,,,
,/CALSIM/C_YUB002_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_YUB002_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,,,PER-AVER,Yuba River Minimum Flow below Daguerre Pt Dam,,,,,,,,,,,,,,,
,/CALSIM/C_YUB002_FLOW_SELECTDV/FLOW-MIN-EFLOW//1MON/L2020A/,CALSIM,C_YUB002_FLOW_SELECTDV,FLOW-MIN-EFLOW,TAF,L2020A,,,PER-AVER,Yuba River Minimum eFlow requirement below Daguerre Pt Dam,,,,,,,,,,,,,,,
,/CALSIM/C_FTR028/CHANNEL//1MON/L2020A/,CALSIM,C_FTR028,CHANNEL,TAF,L2020A,28,AB,PER-AVER,Feather River Flow near Yuba City (below confluence with Yuba River),,,,,,,,,,,,,,,
,/CALSIM/C_FTR012/CHANNEL//1MON/L2020A/,CALSIM,C_FTR012,CHANNEL,TAF,L2020A,29,AC,PER-AVER,Feather River Flow below confluence with Bear River,,,,,,,,,,,,,,,
,/CALSIM/C_FTR003/CHANNEL//1MON/L2020A/,CALSIM,C_FTR003,CHANNEL,TAF,L2020A,31,AE,PER-AVER,Feather River Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/C_FTR003_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_FTR003_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,30,AD,PER-AVER,Feather River Minimum Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/C_FTR003_FLOW_SELECTDV/FLOW-MIN-EFLOW//1MON/L2020A/,CALSIM,C_FTR003_FLOW_SELECTDV,FLOW-MIN-EFLOW,TAF,L2020A,,,PER-AVER,Feather River Minimum eFlow requirements at mouth,,,,,,,,,,,,,,,
,/CALSIM/S_FOLSM/STORAGE//1MON/L2020A/,CALSIM,S_FOLSM,STORAGE,,L2020A,32,AF,INST-VAL,Folsom Storage,,,,,,,,,,,,,,,
,/CALSIM/S_FOLSMLEVEL1DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_FOLSMLEVEL1DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,Folsom Level 1,,,,,,,,,,,,,,,
,/CALSIM/S_FOLSMLEVEL5DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_FOLSMLEVEL5DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,Folsom Level 5,,,,,,,,,,,,,,,
,/CALSIM/C_FOLSM/CHANNEL//1MON/L2020A/,CALSIM,C_FOLSM,CHANNEL,TAF,L2020A,33,AG,PER-AVER,Folsom Release to American River,,,,,,,,,,,,,,,
,/CALSIM/C_NTOMA_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_NTOMA_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,34,AH,PER-AVER,American River Minimum Flow below Nimbus Dam,,,,,,,,,,,,,,,
,/CALSIM/C_NTOMA/CHANNEL//1MON/L2020A/,CALSIM,C_NTOMA,CHANNEL,TAF,L2020A,35,AI,PER-AVER,American River Flow below Nimbus Dam,,,,,,,,,,,,,,,
,/CALSIM/C_AMR004/CHANNEL//1MON/L2020A/,CALSIM,C_AMR004,CHANNEL,TAF,L2020A,36,AJ,PER-AVER,American River Flow at H Street,,,,,,,,,,,,,,,
,/CALSIM/C_AMR004_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_AMR004_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,36,AJ,PER-AVER,American River Min Flow at H Street,,,,,,,,,,,,,,,
,/CALSIM/C_AMR004_FLOW_SELECTDV/FLOW-MIN-EFLOW//1MON/L2020A/,CALSIM,C_AMR004_FLOW_SELECTDV,FLOW-MIN-EFLOW,TAF,L2020A,36,AJ,PER-AVER,American River Eflow at H Street,,,,,,,,,,,,,,,
,/CALSIM/SP_SAC083_YBP037/RIVER-SPILLS//1MON/L2020A/,CALSIM,SP_SAC083_YBP037,RIVER-SPILLS,TAF,L2020A,37,AK,PER-AVER,Fremont Weir Spill,,,,,,,,,,,,,,,
,/CALSIM/C_SAC083/CHANNEL//1MON/L2020A/,CALSIM,C_SAC083,CHANNEL,TAF,L2020A,38,AL,PER-AVER,Sacramento River Flow at Verona,,,,,,,,,,,,,,,
,/CALSIM/C_SAC048/CHANNEL//1MON/L2020A/,CALSIM,C_SAC048,CHANNEL,TAF,L2020A,39,AM,PER-AVER,Sacramento River Flow at Freeport,,,,,,,,,,,,,,,
,/CALSIM/C_SAC041/CHANNEL//1MON/L2020A/,CALSIM,C_SAC041,CHANNEL,TAF,L2020A,40,AN,PER-AVER,Sacramento River Flow at Hood,,,,,,,,,,,,,,,
,/CALSIM/C_YBP020/CHANNEL//1MON/L2020A/,CALSIM,C_YBP020,CHANNEL,TAF,L2020A,41,AO,PER-AVER,Flow through Yolo Bypass,,,,,,,,,,,,,,,
,/CALSIM/C_MOK019/CHANNEL//1MON/L2020A/,CALSIM,C_MOK019,CHANNEL,TAF,L2020A,42,AP,PER-AVER,Mokelumne Flow,,,,,,,,,,,,,,,
,/CALSIM/S_NHGAN/STORAGE//1MON/L2020A/,CALSIM,S_NHGAN,STORAGE,,L2020A,43,AQ,INST-VAL,New Hogan Storage,,,,,,,,,,,,,,,
,/CALSIM/C_CLV004/CHANNEL//1MON/L2020A/,CALSIM,C_CLV004,CHANNEL,TAF,L2020A,44,AR,PER-AVER,Calaveras River Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/S_MELON/STORAGE//1MON/L2020A/,CALSIM,S_MELON,STORAGE,,L2020A,45,AS,INST-VAL,New Melones Storage,,,,,,,,,,,,,,,
,/CALSIM/S_MELONLEVEL1DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_MELONLEVEL1DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,Melon Level 1,,,,,,,,,,,,,,,
,/CALSIM/S_MELONLEVEL4DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_MELONLEVEL4DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,Melon Level 4,,,,,,,,,,,,,,,
,/CALSIM/C_MELON/CHANNEL//1MON/L2020A/,CALSIM,C_MELON,CHANNEL,TAF,L2020A,46,AT,PER-AVER,New Melones Release to Stanislaus River,,,,,,,,,,,,,,,
,/CALSIM/C_STS059_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_STS059_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,47,AU,PER-AVER,Stanislaus River Minimum Flow below Goodwin,,,,,,,,,,,,,,,
,/CALSIM/C_STS059/CHANNEL//1MON/L2020A/,CALSIM,C_STS059,CHANNEL,TAF,L2020A,48,AV,PER-AVER,Stanislaus River Flow below Goodwin,,,,,,,,,,,,,,,
,/CALSIM/C_STS004/CHANNEL//1MON/L2020A/,CALSIM,C_STS004,CHANNEL,TAF,L2020A,49,AW,PER-AVER,Stanislaus River Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/S_PEDRO/STORAGE//1MON/L2020A/,CALSIM,S_PEDRO,STORAGE,,L2020A,50,AX,INST-VAL,New Don Pedro Storage,,,,,,,,,,,,,,,
,/CALSIM/C_TUO003/CHANNEL//1MON/L2020A/,CALSIM,C_TUO003,CHANNEL,TAF,L2020A,51,AY,PER-AVER,Tuolumne River Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/C_TUO003_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_TUO003_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,,,PER-AVER,Tuolumne Minimum River Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/C_TUO003_FLOW_SELECTDV/FLOW-MIN-EFLOW//1MON/L2020A/,CALSIM,C_TUO003_FLOW_SELECTDV,FLOW-MIN-EFLOW,TAF,L2020A,,,PER-AVER,Tuolumne Minimum River eFlow requirements at mouth,,,,,,,,,,,,,,,
,/CALSIM/S_MCLRE/STORAGE//1MON/L2020A/,CALSIM,S_MCLRE,STORAGE,,L2020A,52,AZ,INST-VAL,Lake McClure Storage,,,,,,,,,,,,,,,
,/CALSIM/C_MCD021/CHANNEL//1MON/L2020A/,CALSIM,C_MCD021,CHANNEL,TAF,L2020A,53,BA,PER-AVER,Merced River Flow at mouth,,,,,,,,,,,,,,,
,/CALSIM/S_ESTMN/STORAGE//1MON/L2020A/,CALSIM,S_ESTMN,STORAGE,,L2020A,54,BB,INST-VAL,Eastman Lake Storage,,,,,,,,,,,,,,,
,/CALSIM/C_CHW017/CHANNEL//1MON/L2020A/,CALSIM,C_CHW017,CHANNEL,TAF,L2020A,55,BC,PER-AVER,Chowchilla River Flow,,,,,,,,,,,,,,,
,/CALSIM/S_HNSLY/STORAGE//1MON/L2020A/,CALSIM,S_HNSLY,STORAGE,,L2020A,56,BD,INST-VAL,Hensley Lake Storage,,,,,,,,,,,,,,,
,/CALSIM/C_EBP016/CHANNEL//1MON/L2020A/,CALSIM,C_EBP016,CHANNEL,TAF,L2020A,57,BE,PER-AVER,Fresno River Flow,,,,,,,,,,,,,,,
,/CALSIM/S_MLRTN/STORAGE//1MON/L2020A/,CALSIM,S_MLRTN,STORAGE,,L2020A,58,BF,INST-VAL,Millerton Lake Storage,,,,,,,,,,,,,,,
,/CALSIM/S_MLRTNLEVEL2/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_MLRTNLEVEL2,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,Millerton Level 2 (there is no Level 1 in DSS),,,,,,,,,,,,,,,
,/CALSIM/S_MLRTNLEVEL4/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_MLRTNLEVEL4,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,Millerton Level 4 (NOT WRITTEN OUT IN SCENARIOS 6-10!),,,,,,,,,,,,,,,
,/CALSIM/D_MLRTN_FRK000/DIVERSION//1MON/L2020A/,CALSIM,D_MLRTN_FRK000,DIVERSION,TAF,L2020A,59,BG,PER-AVER,Friant-Kern Canal Diversion,,,,,,,,,,,,,,,
,/CALSIM/D_MLRTN_MDC006/DIVERSION//1MON/L2020A/,CALSIM,D_MLRTN_MDC006,DIVERSION,TAF,L2020A,60,BH,PER-AVER,Madera Canal Diversion,,,,,,,,,,,,,,,
